# File: A54.india_StubTranTech.csv
# Title: Sub transport technologies
# Units: Unitless
# Column types: cccc
# ----------
region,supplysector,tranSubsector,stub.technology
India,trn_aviation_intl,International Aviation,Liquids
India,trn_freight,Freight Rail,Coal
India,trn_freight,Freight Rail,Electric
India,trn_freight,Freight Rail,Liquids
India,trn_freight,Domestic Ship,Liquids
India,trn_freight_road,Truck,Liquids
India,trn_freight_road,Truck,Electric
India,trn_freight_road,Truck,FCEV
India,trn_pass,HSR,Electric
India,trn_pass,Passenger Rail,Electric
India,trn_pass,Domestic Aviation,Liquids
India,trn_pass,Passenger Rail,Liquids
India,trn_pass_road,Bus,Liquids
India,trn_pass_road,Bus,BEV
India,trn_pass_road,Bus,NG
India,trn_pass_road,Bus,FCEV
India,trn_pass_road_LDV_2W,2W,BEV
India,trn_pass_road_LDV_2W,2W,Liquids
India,trn_pass_road_LDV,3W,NG
India,trn_pass_road_LDV,3W,Liquids
India,trn_pass_road_LDV_4W,LDV_4W,BEV
India,trn_pass_road_LDV_4W,LDV_4W,FCEV
India,trn_pass_road_LDV_4W,LDV_4W,NG
India,trn_pass_road_LDV_4W,LDV_4W,Liquids
India,trn_shipping_intl,International Ship,Liquids
